Discipline,Number of Professors,Clarity,Helpfulness,Overall Quality,Easiness
Information Science,811,3.44834771886559,3.53975339087546,3.49631319358816,3.20272503082614
Literature,702,3.69448717948718,3.73856125356125,3.71745014245014,3.06877492877493
Nursing,641,3.61338533541341,3.60808112324493,3.61357254290171,2.67606864274571
Journalism,586,3.61762798634812,3.63569965870307,3.6292832764505,3.10965870307167
Spanish,584,3.85493150684931,3.99371575342465,3.92875,3.34974315068493
Art,574,3.7970731707317,3.79921602787456,3.80015679442508,3.26829268292683
Ethnic Studies,481,3.53359667359667,3.5783367983368,3.55692307692307,3.38762993762993
Film,450,3.78893333333333,3.76468888888889,3.77868888888888,3.32415555555555
Women's Studies,393,3.63994910941475,3.6520865139949,3.64674300254453,3.27641221374045
Classics,390,3.96387179487179,3.94733333333333,3.9586923076923,3.18084615384615
Government,374,3.95754010695186,3.91606951871657,3.93866310160427,3.42302139037433
Speech,351,4.13319088319088,4.10119658119658,4.11934472934472,3.67470085470085
Social Work,317,3.77072555205047,3.83470031545741,3.80624605678232,3.31432176656151
Statistics,317,3.52681388012618,3.66340694006309,3.59706624605677,3.19971608832807
Graphic Arts,297,3.56171717171717,3.64077441077441,3.603367003367,2.97818181818181
International Studies,295,3.62135593220338,3.66691525423728,3.64698305084745,2.97725423728813
Hospitality,267,3.69722846441947,3.74460674157303,3.71947565543071,3.47149812734082
Architecture,263,3.37631178707224,3.44855513307984,3.41699619771862,2.82501901140684
Astronomy,238,3.71407563025209,3.78252100840336,3.75096638655462,3.17886554621848
Design,233,3.52587982832618,3.62467811158798,3.57669527896995,2.88793991416309
Foreign Language,209,3.91464114832535,4.05775119617224,3.99167464114832,3.32315789473684
Religious Studies,193,3.93274611398963,3.98575129533678,3.96227979274611,3.36554404145077
Electrical Engineering,176,3.45153409090909,3.51318181818182,3.4865909090909,2.83045454545454
Child Development,171,3.95058479532163,4.00807017543859,3.97976608187134,3.60608187134502
ESL,168,3.69119047619047,3.68285714285714,3.69065476190476,3.00285714285714
French,162,3.77537037037037,3.94308641975308,3.86067901234568,3.26709876543209
Reading,148,4.15939189189189,4.18891891891891,4.17749999999999,3.88263513513513
Modern Languages,147,3.85850340136054,3.9712925170068,3.91625850340135,3.27523809523809
Agriculture,146,3.76746575342465,3.86321917808219,3.82006849315068,3.40239726027397
Kinesiology,132,3.995,3.97287878787878,3.98871212121212,3.54143939393939
Nutrition,120,3.81516666666666,3.84433333333333,3.8315,3.46833333333333
Physical Sciences,120,3.62733333333333,3.75091666666666,3.68858333333333,2.96941666666666
Anatomy,117,3.93299145299145,3.97470085470085,3.95418803418803,2.86350427350427
Earth Science,110,3.63618181818181,3.67136363636363,3.6550909090909,3.10672727272727
Linguistics,110,3.749,3.83454545454545,3.79818181818181,3.30963636363636
Mechanical Engineering,104,3.44192307692307,3.53115384615384,3.48932692307692,2.79913461538461
Medicine,102,3.92725490196078,3.9342156862745,3.92911764705882,3.10911764705882
